Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Train Epoch: 1 [0/49000 (0%)]	Train Loss: 4.122136	Val Loss: 21.704765	Val Acc: 20
Train Epoch: 1 [5120/49000 (10%)]	Train Loss: 8.213634	Val Loss: 7.440265	Val Acc: 29
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 4.624229	Val Loss: 4.995201	Val Acc: 28
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 3.413276	Val Loss: 3.573753	Val Acc: 33
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 3.124991	Val Loss: 3.210749	Val Acc: 36
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 2.838352	Val Loss: 2.794377	Val Acc: 38
Train Epoch: 1 [30720/49000 (62%)]	Train Loss: 2.474202	Val Loss: 2.516888	Val Acc: 39
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 2.772760	Val Loss: 2.617909	Val Acc: 38
Train Epoch: 1 [40960/49000 (83%)]	Train Loss: 2.625112	Val Loss: 2.460461	Val Acc: 41
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 2.583228	Val Loss: 2.418386	Val Acc: 42
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 2.194072	Val Loss: 2.390979	Val Acc: 40
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 2.018598	Val Loss: 2.284182	Val Acc: 43
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 2.209750	Val Loss: 2.295984	Val Acc: 42
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 2.022026	Val Loss: 2.165090	Val Acc: 44
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 2.021050	Val Loss: 2.073103	Val Acc: 41
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 2.115959	Val Loss: 2.082635	Val Acc: 42
Train Epoch: 2 [30720/49000 (62%)]	Train Loss: 2.140570	Val Loss: 1.888416	Val Acc: 43
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.707431	Val Loss: 2.073258	Val Acc: 42
Train Epoch: 2 [40960/49000 (83%)]	Train Loss: 1.675975	Val Loss: 1.961030	Val Acc: 43
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 2.233458	Val Loss: 1.902410	Val Acc: 43
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.877915	Val Loss: 1.958740	Val Acc: 43
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.622545	Val Loss: 1.938395	Val Acc: 40
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.519836	Val Loss: 1.787145	Val Acc: 46
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 1.493856	Val Loss: 1.738166	Val Acc: 45
